"id","finisheddate","party","elected","occupation","redevelop_con","republican","democrat","election_partisan","success","failure","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_9WBHOjnDf0nsL65","7/25/12 14:15",1,2,2,0,1,0,0,0,1,0,5,0
"R_0qeMcB7RBfKBm0l","7/26/12 21:43",3,2,2,1,0,0,0,1,0,1,4,0
"R_aXc5MZoH2AhXqol","7/25/12 9:13",1,3,2,1,1,0,1,0,1,0,5,0
"R_5vy7qEPwsknBv7f","8/6/12 16:24",1,3,2,1,1,0,1,1,0,1,5,0
"R_3HGZNOGqbB3EGlT","8/11/12 22:32",2,2,2,1,0,1,0,0,1,1,5,0
"R_9nmZlBEmC6jcBAF","7/25/12 20:50",3,2,2,0,0,0,0,1,0,1,4,
"R_5hhEvAWUUF2jGgl","8/6/12 20:57",3,2,2,1,0,0,0,0,1,0,4,0
"R_82C5EleoX8Kqlwx","7/28/12 7:59",1,-99,2,1,1,0,,1,0,1,4,0
"R_bmy8jjGaSp0JStL","7/25/12 11:07",1,2,2,1,1,0,0,0,1,,7,1
"R_d4NsBTDjfk2miPP","7/26/12 12:50",1,3,2,0,1,0,1,0,1,0,4,0
"R_cCqYm5e1VjZt0Mt","7/25/12 12:41",1,2,2,1,1,0,0,0,1,1,4,0
"R_aazsfQHc87E5dqd","7/25/12 10:51",,,,,,,,,,,4,0
"R_aa4nQj2UUCPBoqh","7/25/12 21:16",1,2,2,1,1,0,0,0,1,1,4,0
"R_428Lck58ckWOW6p","7/31/12 19:41",1,2,2,1,1,0,0,1,0,1,5,0
"R_eL0lbIu4zodqhZX","8/15/12 10:04",1,2,2,1,1,0,0,0,1,1,5,0
"R_b73X92vfNPw4iah","7/25/12 9:31",1,2,2,1,1,0,0,0,1,1,5,0
"R_0Nis3yXPDuBpJhH","8/15/12 12:45",1,2,2,1,1,0,0,,,,4,0
"R_d3RQl5116nwze7j","8/22/12 15:34",2,3,2,1,0,1,1,0,1,1,5,0
"R_9QNS0pQIaiji8kJ","7/25/12 9:45",5,2,2,0,0,0,0,0,1,0,4,0
"R_bJgAE9gESn6G9WB","8/20/12 19:56",3,2,2,1,0,0,0,0,1,1,5,0
"R_3xuzHO5smgOgWVL","8/14/12 14:33",2,2,2,1,0,1,0,1,0,1,5,0
"R_3fVqgnYtOs4phZ3","7/25/12 13:49",1,2,1,1,1,0,0,1,0,1,4,0
"R_80b9zWm46CIkLL7","8/14/12 9:41",,,,,,,,,,,5,0
"R_ePdMW4QE9skjbed","7/25/12 10:41",,,,,,,,,,,4,0
"R_eG0V0m9yWpYc2C9","8/15/12 14:36",3,2,2,1,0,0,0,0,1,0,4,0
"R_2mJeqbUbwx451mR","7/25/12 9:56",3,1,2,1,0,0,,1,0,1,4,0
"R_6FNyYRmw2Hb0rZ3","7/25/12 10:11",,-99,-99,,,,,0,1,,4,0
"R_ewBapQsDsbovZPf","8/14/12 13:48",,-99,-99,,,,,1,0,,5,0
"R_2tT2M5mc5eC4RPn","9/2/12 7:57",1,3,2,0,1,0,1,0,1,0,,
"R_29ld9npGHW2Bs4B","7/25/12 12:41",3,1,2,0,0,0,,0,1,0,5,0
"R_3OeR306L0hV124t","8/7/12 15:13",1,2,1,1,1,0,0,0,1,0,4,0
"R_3Ox4oiexAzWuyMd","8/6/12 9:07",2,2,2,1,0,1,0,0,1,1,5,0
"R_9F9TyhR3eDbLWEl","7/26/12 21:20",5,2,2,0,0,0,0,0,1,0,4,0
"R_50clYpCVsdXhgQB","8/6/12 18:54",,,,,,,,,,,4,0
"R_bj6EdsqgeZJ3Uvb","8/6/12 16:17",3,2,2,1,0,0,0,0,1,1,5,0
"R_dimZdn8muYhZBOJ","8/6/12 10:17",2,2,2,0,0,1,0,0,1,1,,
"R_6hRbff8FXd9bpAh","8/15/12 12:58",,,,,,,,,,,4,0
"R_5tqmm0je9zQvEOx","8/14/12 10:47",3,2,2,1,0,0,0,1,0,0,4,0
"R_01cMQNcAdd5tPtH","8/6/12 11:14",2,1,1,1,0,1,,1,0,1,,
"R_3ISjY618fHFAkZv","8/15/12 14:57",1,2,2,1,1,0,0,,,,4,0
"R_8vu0Pybu7vpCuq1","8/6/12 12:31",2,2,2,1,0,1,0,0,1,1,,
"R_0JaHAHwMqHZdRM9","7/27/12 19:48",1,2,2,1,1,0,0,0,1,1,4,0
"R_4YZDNUUK5B5hD01","8/7/12 14:53",1,2,1,1,1,0,0,0,1,1,4,0
"R_1Hah7NopGZ88wg5","7/25/12 9:15",,,,,,,,,,,4,0
"R_b2fB3KDYt7tDtQ1","7/26/12 7:32",2,2,2,1,0,1,0,0,1,0,4,0
"R_7NyMB4aWFhmHS4d","8/14/12 11:47",2,3,2,1,0,1,1,1,0,1,4,0
"R_8DsQ1UKPPmfXVv7","8/11/12 20:27",2,2,1,1,0,1,0,0,1,1,5,0
"R_dd0talACJe4r3NP","8/14/12 21:30",3,2,2,1,0,0,0,0,1,1,7,1
"R_89d0pEhTyDl6me9","8/12/12 7:59",1,3,1,1,1,0,1,0,1,0,5,1
"R_d0VfbsaYUdQOISN","8/17/12 10:53",1,3,2,1,1,0,1,1,0,1,5,1
"R_3z1MnRKa7v2MdGB","7/26/12 12:46",3,2,2,1,0,0,0,1,0,0,4,0
"R_eEihAU5CKYybkkl","8/6/12 15:41",2,2,2,0,0,1,0,0,1,1,4,0
"R_24QiGCzNcNvPDYF","8/6/12 11:41",1,2,2,1,1,0,0,0,1,1,5,0
"R_0rKxcLJfZslB22p","7/26/12 15:59",1,3,2,1,1,0,1,1,0,1,,
"R_brrv1qHMszoTVMp","8/14/12 14:04",1,2,2,1,1,0,0,0,1,1,5,0
"R_eEyFU6X6TxgBi5f","7/25/12 10:03",2,2,2,1,0,1,0,1,0,0,4,0
"R_0rAj6EWYAsSGJQF","8/6/12 18:26",3,2,2,0,0,0,0,1,0,0,4,0
"R_8p4sW09Fj6srJc1","8/6/12 9:10",,-99,-99,,,,,1,0,,4,0
"R_aV779MH6hHf8GIB","8/6/12 9:53",3,2,2,0,0,0,0,1,0,0,4,0
"R_1HAh8xH6GFF3c8d","7/27/12 10:15",1,2,2,1,1,0,0,1,0,0,5,0
"R_6Rtg3gHVvl2WBmJ","7/26/12 2:00",5,2,1,1,0,0,0,0,1,0,5,0
"R_brxD5r7iBf00MN7","8/14/12 9:53",,,,,,,,,,,7,1
"R_3qR7Ysn88bBVcQl","8/7/12 14:57",2,2,2,1,0,1,0,,,,7,1
"R_ehCL5ZgnAYsvGvj","8/6/12 8:35",,,,,,,,,,,4,0
"R_3EH9GZKZZ7PN5CR","7/30/12 10:55",1,2,2,1,1,0,0,,,,5,0
"R_5tCpAGiWIS1CaQB","7/25/12 9:03",3,2,2,1,0,0,0,,,,4,0
"R_788DZuroL8yQD4N","7/25/12 13:30",3,2,2,1,0,0,0,0,1,1,4,0
"R_0uMOI9Cm7c3XcSF","8/6/12 13:36",1,3,2,0,1,0,1,0,1,0,7,1
"R_cwOwUXoYl21rCWF","8/15/12 10:43",1,2,2,1,1,0,0,1,0,0,4,0
"R_ezLeEJf2AHIBtGJ","8/7/12 15:33",,-99,-99,,,,,1,0,,7,0
"R_4MIjAPNiTqFS9al","7/25/12 11:15",2,3,2,1,0,1,1,0,1,1,7,0
"R_eeq6RJoF42W8i8J","8/14/12 19:48",1,3,2,1,1,0,1,1,0,1,5,0
"R_dhTo4gSmvLcKGK9","9/3/12 9:21",2,2,2,1,0,1,0,1,0,1,5,0
"R_9vJYuspCAokatnf","8/15/12 14:59",2,3,2,1,0,1,1,1,0,0,5,0
"R_6hBdNOrxBDCjDEh","7/25/12 16:15",1,3,2,1,1,0,1,1,0,1,4,0
"R_3n43uhM9ACHZOMl","7/25/12 9:23",1,2,2,1,1,0,0,0,1,1,4,0
"R_envtFPJYB2E1Ow5","8/6/12 8:38",3,1,1,0,0,0,,0,1,0,7,1
