"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Barbara Boxer","22:16, 10 July 2014","21:22, 10 July 2014",7/10/2014 21:21:40,7/10/2014 22:16:17,3276800,1,"California",3,"Democratic",1993,,"Chair - Environment & Public Works; Ethics",313244,37253956,"W",0,2,,1,0,,,2,
"Barbara Mikulski","NO","20:09, 7 July 2014",7/7/2014 20:08:34,,,1,"Maryland",3,"Democratic",1987,,"Chair - Appropriations",300308,5773552,"S",0,13,,1,0,,,1,
"Ben Cardin","20:11, 15 July 2014","20:08, 15 July 2014",7/15/2014 20:07:37,7/15/2014 20:11:59,262144,1,"Maryland",1,"Democratic",2007,,,199700,5773552,"S",0,19,,0,0,,,3,
"Bernie Sanders","00:04, 12 July 2014","21:15, 11 July 2014",7/11/2014 21:14:43,7/12/2014 00:02:56,10092544,1,"Vermont",1,"Independent (Democratic Socialist)",2007,,"Chair - Veterans' Affairs",250858,625741,"NE",0,5,,1,0,,,3,
"Bill Nelson","19:53, 15 July 2014","19:50, 15 July 2014",7/15/2014 19:50:08,7/15/2014 19:52:19,131072,1,"Florida",1,"Democratic",2001,,,264321,18801310,"S",0,10,,0,0,,,1,
"Bob Casey, Jr.","21:35, 8 July 2014","21:34, 8 July 2014",7/8/2014 21:33:22,7/8/2014 21:35:33,131072,1,"Pennsylvania",1,"Democratic",2007,,,249752,12702379,"NE",0,20,,0,0,,,4,
"Bob Corker","22:24, 11 July 2014","21:12, 11 July 2014",7/11/2014 21:12:32,7/11/2014 22:24:37,4325376,1,"Tennessee",1,"Republican",2007,,"Ranking - Foreign Relations",266068,6346105,"S",0,5,,1,1,,,4,
"Bob Menendez","NO","21:14, 11 July 2014",7/11/2014 21:14:43,,,1,"New Jersey",1,"Democratic",2006,,"Chair - Foreign Relations",367853,8791894,"NE",1,5,,1,0,,,1,
"Brian Schatz","20:07, 15 July 2014","20:03, 15 July 2014",7/15/2014 20:03:15,7/15/2014 20:07:37,262144,1,"Hawaii",3,"Democratic",2012,,,147020,1360301,"W",0,4,,0,0,,,2,
"Carl Levin","20:26, 15 July 2014","19:31, 15 July 2014",7/15/2014 19:30:28,7/15/2014 20:25:05,3276800,1,"Michigan",2,"Democratic",1979,,"Chair - Armed Forces",281477,9883640,"MW",0,25,,1,0,,,3,
"Chris Coons","20:30, 15 July 2014","19:19, 15 July 2014",7/15/2014 19:19:33,7/15/2014 20:29:27,4194304,1,"Delaware",2,"Democratic",2010,,,168931,897934,"S",0,3,,0,0,,,1,
"Chris Murphy","20:48, 8 July 2014","20:37, 8 July 2014",7/8/2014 20:36:34,7/8/2014 20:47:30,655360,1,"Connecticut",1,"Democratic",2013,,,26969,3574097,"NE",0,24,,0,0,,,4,
"Chuck Grassley","20:01, 7 July 2014","20:01, 7 July 2014",7/7/2014 20:02:01,7/7/2014 20:02:01,0,1,"Iowa",3,"Republican",1981,,"Ranking - Judciairy",277833,3046355,"MW",0,13,,1,1,,,4,
"Chuck Schumer","20:09, 15 July 2014","21:35, 9 July 2014",7/9/2014 21:35:10,7/15/2014 20:09:48,513277952,1,"New York",3,"Democratic",1999,"DCC Vice Chair & Policy Committee Chair",,368300,19378102,"NE",0,23,,1,0,,,2,
"Claire McCaskill","19:33, 15 July 2014","19:17, 15 July 2014",7/15/2014 19:17:22,7/15/2014 19:32:40,917504,1,"Missouri",1,"Democratic",2007,,,185508,5988927,"MW",0,3,,0,0,,,4,
"Cory Booker","NO","09:05, 12 July 2014",7/12/2014 09:04:41,,,1,"New Jersey",2,"Democratic",2013,,,352603,8791894,"NE",0,7,,0,0,,,1,
"Dan Coats","09:23, 10 July 2014","21:23, 9 July 2014",7/9/2014 21:22:03,7/10/2014 09:22:57,43253760,1,"Indiana",3,"Republican",2011,,,157820,6483802,"MW",0,14,,0,1,,,3,
"David Vitter","20:24, 15 July 2014","06:25, 14 July 2014",7/14/2014 06:24:26,7/15/2014 20:22:54,136708096,1,"Louisiana",3,"Republican",2005,,"Ranking - Environment and Publics Works",422715,4533372,"S",0,17,,1,1,,,2,
